"rule","engine","severity","tags","file","startLine","startColumn","endLine","endColumn","message","resources"
"NoTrailingWhitespace","regex",5,"Recommended,CodeStyle,Apex","force-app\main\default\classes\ComplianceEmailController.cls",3,1,4,1,"Found trailing whitespace at the end of a line of code.",
"@salesforce-ux/slds/no-hardcoded-values-slds2","eslint",4,"Recommended,SLDS,Design,CSS,Fixable","force-app\main\default\lwc\scAnalystConsole\scAnalystConsole.css",24,11,24,15,"There's no replacement styling hook for the 100% static value. Remove the static value.","https://developer.salesforce.com/docs/platform/slds-linter/guide/reference-rules.html#no-hardcoded-values-slds2"
"@salesforce-ux/slds/no-hardcoded-values-slds2","eslint",4,"Recommended,SLDS,Design,CSS,Fixable","force-app\main\default\lwc\scAnalystConsole\scAnalystConsole.css",27,14,27,18,"Consider replacing the 14px static value with an SLDS 2 styling hook that has a similar value: --slds-g-font-scale-1.","https://developer.salesforce.com/docs/platform/slds-linter/guide/reference-rules.html#no-hardcoded-values-slds2"
"@salesforce-ux/slds/no-hardcoded-values-slds2","eslint",4,"Recommended,SLDS,Design,CSS,Fixable","force-app\main\default\lwc\scAnalystConsole\scAnalystConsole.css",38,12,38,16,"There's no replacement styling hook for the 10px static value. Remove the static value.","https://developer.salesforce.com/docs/platform/slds-linter/guide/reference-rules.html#no-hardcoded-values-slds2"
"@salesforce-ux/slds/no-hardcoded-values-slds2","eslint",4,"Recommended,SLDS,Design,CSS,Fixable","force-app\main\default\lwc\scAnalystConsole\scAnalystConsole.css",38,17,38,21,"There's no replacement styling hook for the 20px static value. Remove the static value.","https://developer.salesforce.com/docs/platform/slds-linter/guide/reference-rules.html#no-hardcoded-values-slds2"
"@salesforce-ux/slds/no-hardcoded-values-slds2","eslint",4,"Recommended,SLDS,Design,CSS,Fixable","force-app\main\default\lwc\scAnalystConsole\scAnalystConsole.css",38,31,38,35,"There's no replacement styling hook for the 44px static value. Remove the static value.","https://developer.salesforce.com/docs/platform/slds-linter/guide/reference-rules.html#no-hardcoded-values-slds2"
"@salesforce-ux/slds/no-hardcoded-values-slds2","eslint",4,"Recommended,SLDS,Design,CSS,Fixable","force-app\main\default\lwc\scAnalystConsole\scAnalystConsole.css",40,18,40,23,"There's no replacement styling hook for the 0.5px static value. Remove the static value.","https://developer.salesforce.com/docs/platform/slds-linter/guide/reference-rules.html#no-hardcoded-values-slds2"
"@salesforce-ux/slds/no-hardcoded-values-slds2","eslint",4,"Recommended,SLDS,Design,CSS,Fixable","force-app\main\default\lwc\scAnalystConsole\scAnalystConsole.css",44,23,44,27,"Consider replacing the 24px static value with an SLDS 2 styling hook that has a similar value: --slds-g-sizing-7.","https://developer.salesforce.com/docs/platform/slds-linter/guide/reference-rules.html#no-hardcoded-values-slds2"
"@salesforce-ux/slds/no-hardcoded-values-slds2","eslint",4,"Recommended,SLDS,Design,CSS,Fixable","force-app\main\default\lwc\scAnalystConsole\scAnalystConsole.css",44,37,44,41,"Consider replacing the 24px static value with an SLDS 2 styling hook that has a similar value: --slds-g-sizing-7.","https://developer.salesforce.com/docs/platform/slds-linter/guide/reference-rules.html#no-hardcoded-values-slds2"
"@salesforce-ux/slds/no-hardcoded-values-slds2","eslint",4,"Recommended,SLDS,Design,CSS,Fixable","force-app\main\default\lwc\scAnalystConsole\scAnalystConsole.css",44,58,44,61,"There's no replacement styling hook for the 5px static value. Remove the static value.","https://developer.salesforce.com/docs/platform/slds-linter/guide/reference-rules.html#no-hardcoded-values-slds2"
"@salesforce-ux/slds/no-hardcoded-values-slds2","eslint",4,"Recommended,SLDS,Design,CSS,Fixable","force-app\main\default\lwc\scAnalystConsole\scAnalystConsole.css",45,27,45,31,"Consider replacing the 13px static value with an SLDS 2 styling hook that has a similar value: --slds-g-font-scale-base.","https://developer.salesforce.com/docs/platform/slds-linter/guide/reference-rules.html#no-hardcoded-values-slds2"
