"rule","severity","engine","file","startLine","message","status","description"
"OperationWithLimitsInLoop","3","pmd","force-app\main\default\classes\CrudEnforcementTest.cls","75","Avoid operations in loops that may hit governor limits","Documented false positive - see earlier table",""
"OperationWithLimitsInLoop","3","pmd","force-app\main\default\classes\DocAssessQueueable.cls","107","Avoid operations in loops that may hit governor limits","Documented false positive - see earlier table",""
"ApexSharingViolations","3","pmd","force-app\main\default\classes\LightningSelfRegisterController.cls","1","Apex classes should declare a sharing model if DML or SOQL/SOSL is used","Documented false positive - see earlier table",""
"OperationWithLimitsInLoop","3","pmd","force-app\main\default\classes\MultiTierRollupService.cls","73","Avoid operations in loops that may hit governor limits","Documented false positive - see earlier table",""
"OperationWithLimitsInLoop","3","pmd","force-app\main\default\classes\MultiTierRollupService.cls","85","Avoid operations in loops that may hit governor limits","Documented false positive - see earlier table",""
"OperationWithLimitsInLoop","3","pmd","force-app\main\default\classes\MultiTierRollupService.cls","152","Avoid operations in loops that may hit governor limits","Documented false positive - see earlier table",""
"OperationWithLimitsInLoop","3","pmd","force-app\main\default\classes\MultiTierRollupService.cls","153","Avoid operations in loops that may hit governor limits","Documented false positive - see earlier table",""
"ApexDangerousMethods","3","pmd","force-app\main\default\classes\SubSupplierController.cls","494","Calling potentially dangerous method","Documented false positive - see earlier table",""
"VfCsrf","2","pmd","force-app\main\default\pages\CommunitiesLanding.page","1","Avoid calling VF action upon page load","Documented false positive (by design)","Index page (indexPage) of all three Experience Cloud sites. The page-load action forwardToStartPage only returns Network.communitiesLanding() - a redirect to the site home with no state change, so a forged request cannot make it do anything. Salesforce-generated scaffolding; the action IS the page. Documented false positive."
"VfCsrf","2","pmd","force-app\main\default\pages\CommunitiesLogin.page","1","Avoid calling VF action upon page load","Documented false positive (by design)","Authorization-required page (authorizationRequiredPage) of all three Experience Cloud sites. The page-load action forwardToAuthPage only returns Network.forwardToAuthPage(startUrl) - a redirect to the login page preserving the requested URL, no state change. Salesforce-generated scaffolding. Documented false positive."
